id|sub_cat_id|company_name_cn
001-001-001|001-001|Acura
001-001-002|001-001|愛快羅密歐
001-001-003|001-001|奧迪
001-001-004|001-001|寶馬
001-001-005|001-001|賓利
001-001-006|001-001|快意
001-001-007|001-001|福特
001-001-008|001-001|本田
001-001-009|001-001|現代
001-001-010|001-001|英菲尼迪
001-001-011|001-001|Jaguar
001-001-012|001-001|起亞
001-001-013|001-001|Land Rover
001-001-014|001-001|凌志
001-001-015|001-001|蓮花
001-001-016|001-001|瑪莎拉蒂
001-001-017|001-001|萬事得
001-001-018|001-001|平治
001-001-019|001-001|Mini
001-001-020|001-001|三菱
001-001-021|001-001|日產
001-001-022|001-001|保時捷
001-001-023|001-001|勞斯萊斯
001-001-024|001-001|Smart
001-001-025|001-001|Subaru
001-001-026|001-001|鈴木
001-001-027|001-001|Tesla
001-001-028|001-001|豐田
001-001-029|001-001|大眾汽車
001-001-030|001-001|富豪
001-002-031|001-002|蜆殼
001-002-032|001-002|中國石油
001-002-033|001-002|中石化
001-002-034|001-002|ESSO
001-002-035|001-002|加德士
001-003-036|001-003|基石
001-003-037|001-003|E-Charge
001-003-038|001-003|宜加充電
001-003-039|001-003|Mercedes-benz EQ
001-003-040|001-003|施耐德電氣
001-003-041|001-003|SmartCharge
001-003-042|001-003|Tesla
001-003-043|001-003|Autotoll VGO
001-003-044|001-003|中電
001-003-045|001-003|港燈
001-003-046|001-003|其他
002-004-047|002-004|中國銀行(香港)有限公司
002-004-048|002-004|交通銀行(香港)有限公司
002-004-049|002-004|東亞銀行有限公司
002-004-050|002-004|中信銀行國際有限公司
002-004-051|002-004|中國建設銀行(亞洲)股份有限公司
002-004-052|002-004|集友銀行有限公司
002-004-053|002-004|創興銀行有限公司
002-004-054|002-004|花旗銀行(香港)有限公司
002-004-055|002-004|大新銀行有限公司
002-004-056|002-004|星展銀行(香港)有限公司
002-004-057|002-004|富邦銀行(香港)有限公司
002-004-058|002-004|恒生銀行有限公司
002-004-059|002-004|香港上海滙豐銀行有限公司
002-004-060|002-004|中國工商銀行(亞洲)有限公司
002-004-061|002-004|南洋商業銀行有限公司
