id|company_id|services_scope_cn|service_hotline|email|address_cn|added_detail_cn|tips_cn
001-001-001-0001|001-001-001||2216 8183||九龍灣啟祥道20號 大昌行集團大廈2樓||
001-001-002-0002|001-001-002|陳列室|2216 8183|sales@alfaromeo.com.hk|G/F 173-174 Gloucester Road, Wanchai, Hong Kong||
001-001-002-0003|001-001-002|維修中心|2356 7222||||
001-001-003-0004|001-001-003|九龍陳列室|||九龍尖沙咀漆咸道南79號中國五礦大廈地下||
001-001-003-0005|001-001-003|香港陳列室|||香港金鐘夏慤道18號海富中心第一座地下||
001-001-004-0006|001-001-004|九龍區陳列室|3129 9000||||
001-001-004-0007|001-001-004|香港區陳列室|3129 9010 ||||
001-001-004-0008|001-001-004|新界區陳列室|3193 6888||||
001-001-005-0009|001-001-005||21111798||||
001-001-006-0010|001-001-006|陳列室|2960 9288 ||||
001-001-006-0011|001-001-006|維修中心 |2356 7222||||
001-001-007-0012|001-001-007| 陳列室|2820 4018||||
001-001-007-0013|001-001-007|維修中心 |2820 5151||||
001-001-008-0014|001-001-008||2216 8183||九龍灣啟祥道20號 大昌行集團大廈2樓||
001-001-009-0015|001-001-009|陳列室|3428 8288||||
001-001-009-0016|001-001-009|葵涌維修中心|3421 0640||||
001-001-009-0017|001-001-009|天水圍維修中心|3105 3828||||
001-001-010-0018|001-001-010||2768-2255|admin@infiniti.com.hk|INFINITI服務中心 香港九龍灣啟祥道20號 大昌行集團大廈3樓||
001-001-011-0019|001-001-011||2821 7147|info@jaguar.com.hk|||
001-001-012-0020|001-001-012||2448 2768||||[下載「私家車定期保養服務價目表」](https://www.kia.com/content/dam/kwcms/hk/en/pdf/maintenance/Kia_Service_Leaflet_PV_202201.pdf)
001-001-013-0021|001-001-013|24小時支援服務|9601 4830||||
001-001-013-0022|001-001-013|香港仔維修中心|2820 5150||||
001-001-013-0023|001-001-013|葵涌維修中心|2821 7100||||
001-001-014-0024|001-001-014||2820 4020||||
001-001-015-0025|001-001-015|陳列室|2927 3538|lotussales@wearnes.hk||營業時間 Mon - Sun & Public Holiday: 10:00am – 7:00pm|
001-001-015-0026|001-001-015|服務中心|2927 3555|aftersales@wearnes.hk||營業時間 Mon - Fri: 8:30am – 6:00pm Sat, Sun & PH: Closed|
001-001-016-0027|001-001-016|||info@maserati.com|||維修服務 (http://www.autoitalia.com.hk/res/maserati/file/mas%20af%20leaflet13_CHI_p1-6_hi.pdf)
001-001-017-0028|001-001-017|售後服務熱線|3768-4848||||
001-001-018-0029|001-001-018|港島品牌中心|2504 6140||香港柴灣嘉業街60號|開放時間: 星期一至日及公眾假期: 上午9時至下午6時|
001-001-018-0030|001-001-018|九龍品牌中心|2505 6140||九龍紅磡寶來街50號|開放時間: 星期一至日及公眾假期: 上午9時至下午6時|
001-001-018-0031|001-001-018|客貨車陳列室|2504 6181||九龍灣宏照道33號國際交易中心地下|開放時間： 星期一至五：上午9時至下午6時 星期六、日及公眾假期：上午10時至下午6時|
001-001-019-0032|001-001-019|荃灣陳列室|31936808||荃灣青山公路380號森那美集團大廈2/F|時間： 9:00am - 7:30pm|
001-001-019-0033|001-001-019|灣仔陳列室|31936800||灣仔告士打道56號東亞銀行港灣中心地下|時間： 9:00am - 7:30pm|
001-001-020-0034|001-001-020||2721 1111||||
001-001-021-0035|001-001-021|香港區陳列室|2803 5333||||
001-001-021-0036|001-001-021|九龍區陳列室|2262 1088||||
001-001-022-0037|001-001-022|客戶意見熱線|2926 2911|crm@porsche-hongkong.com|||
001-001-022-0038|001-001-022|維修中心|2179 7911|info@porsche-hongkong.com|||
001-001-023-0039|001-001-023||3193 6999||柴灣豐業街12號啟力工業中心A座2樓|營業時間 星期一 - 星期五 - 上午八時至下午六時 星期六 - 星期日 - 休息 公眾假期 - 休息|
001-001-024-0040|001-001-024|港島品牌中心|2504 6140||香港柴灣嘉業街60號|開放時間: 星期一至日及公眾假期: 上午9時至下午6時|
001-001-024-0041|001-001-024|九龍品牌中心|2505 6140||九龍紅磡寶來街50號|開放時間: 星期一至日及公眾假期: 上午9時至下午6時|
001-001-024-0042|001-001-024|smart 特許維修中心 - 九龍|2363 9396||黃埔花園九龍紅磡寶來街50號仁孚停車場大廈地下|營業時間: 星期一至六 上午八時至晚上七時 星期日及公眾假期：休息|
001-001-024-0043|001-001-024|Smart 特許維修中心 - 元朗|2473 3171||新界元朗寶業街萬輝工業中心地下4號|營業時間: 星期一至星期六 上午八時至晚上七時 星期日及公眾假期 休息|
001-001-025-0044|001-001-025|預約試駕|28282488||||
001-001-026-0045|001-001-026|陳列室|2332 0091||九龍灣臨樂街南豐商業中心地下G5 (臨華街九巴車廠對面)||
001-001-026-0046|001-001-026|服務中心|3913 8623||沙田安心街11號華順廣場3樓||
001-001-026-0047|001-001-026|零件查詢|3913 8630||||
001-001-027-0048|001-001-027|查詢及預約試駕|3974 0254||||應對緊急情況參考指南 (https://www.tesla.com/zh_HK/firstresponders)
001-001-027-0049|001-001-027|客戶服務與路邊援助|3974 0251||||應對緊急情況參考指南 (https://www.tesla.com/zh_HK/firstresponders)
001-001-028-0050|001-001-028|九龍灣陳列室|2884 7999||||
001-001-028-0051|001-001-028|灣仔區陳列室|2886 6188||||
001-001-028-0052|001-001-028|商用車陳列室|2745 0099||||
001-001-028-0053|001-001-028|九龍灣豐田維修中心|2821 7321||||
001-001-029-0054|001-001-029|24小時緊急/拖車熱線|3698 9699||||
001-001-029-0055|001-001-029|熱線|3698 9588||||
001-001-030-0056|001-001-030|陳列室|2927 3388||||
001-001-030-0057|001-001-030|維修中心|2927 3399||||
001-002-031-0058|001-002-031|清水灣道|2719 8369||清水灣道璧屋 1174 號地段|換油服務, 人手洗車服務, 便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0059|001-002-031|將軍澳|2703 6373||將軍澳寶康路100號|汽車護理服務, 尿素泵服務, 換油服務, 電腦洗車服務, 人手洗車服務, 便利店, 供應車用石油氣, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
