id|cat_id|sub_category_cn
001-001|001|私家車車廠
001-002|001|加油站
001-003|001|電動車充電站
002-004|002|銀行
002-005|002|信用卡
002-006|002|財務借貸
002-007|002|保險
002-008|002|投資
002-009|002|電子支付
003-010|003|家庭電器
003-011|003|相機
003-012|003|手機
003-013|003|網絡供應商
004-014|004|商場
004-015|004|地產發展商
004-016|004|超級市場
005-017|005|便利店
005-018|005|藥房
005-019|005|中藥房
005-020|005|電器舖
005-021|005|傢俬店
005-022|005|餐飲集團
005-023|005|運動店
005-024|005|咖啡連鎖店
005-025|005|外賣速遞
006-026|006|食品
006-027|006|飲品
006-028|006|家居清潔用品
006-029|006|酒類
006-030|006|奶粉
006-031|006|醫藥品
007-032|007|男女裝
007-033|007|化妝護膚
007-034|007|美容瘦身髮型水療
007-035|007|健身、瑜珈、舞蹈中心
007-036|007|醫院及醫療中心
008-037|008|鐘錶
008-038|008|珠寶
009-039|009|酒店
009-040|009|旅遊代表處
009-041|009|航空公司
009-042|009|旅行社
009-043|009|網上旅行社
010-044|010|小學
010-045|010|中學
010-046|010|大學及專上院校
011-047|011|交通物流
011-048|011|政府機構
011-049|011|公用服務
012-050|012|戲院
012-051|012|遊樂場所
012-052|012|遊戲機
012-053|012|網上娛樂平台
012-054|012|遊樂設施
